,company_permalink,funding_round_permalink,funding_round_type,raised_amount_usd,permalink,name,homepage_url,category_list,status,country_code,state_code,region,city,primary_sector,main_sector
6303,/organization/aviir,/funding-round/2fa2c41d6c69ff65ff67d6a7452ba74a,venture,11350000.0,/organization/aviir,Aviir,http://www.aviir.com,Biotechnology,closed,USA,CA,Anaheim,Irvine,Biotechnology,Cleantech / Semiconductors
6306,/organization/aviir,/funding-round/520f6622eb095ef521e21dab350558b4,venture,7800000.0,/organization/aviir,Aviir,http://www.aviir.com,Biotechnology,closed,USA,CA,Anaheim,Irvine,Biotechnology,Cleantech / Semiconductors
6313,/organization/aviir,/funding-round/ec7c87802dedf29a171c0d5752ddc4a5,venture,10000000.0,/organization/aviir,Aviir,http://www.aviir.com,Biotechnology,closed,USA,CA,Anaheim,Irvine,Biotechnology,Cleantech / Semiconductors
6314,/organization/aviir,/funding-round/fa04a4e28ad07f405d2dd3ee444a5089,venture,10000000.0,/organization/aviir,Aviir,http://www.aviir.com,Biotechnology,closed,USA,CA,Anaheim,Irvine,Biotechnology,Cleantech / Semiconductors
6327,/organization/avinti,/funding-round/d9b224c6dc82fe4186b44bbdec3cb0ac,venture,7200000.0,/organization/avinti,Avinti,http://www.avinti.com/,Software,closed,USA,UT,Salt Lake City,Orem,Software,Others
6330,/organization/aviso-inc,/funding-round/1a7593fbcc71ea2c50450f0a7e9c109b,venture,8000000.0,/organization/aviso-inc,"Aviso, Inc.",http://www.aviso.com,B2B|Enterprises|Enterprise Software|Finance|Predictive Analytics|Software,operating,USA,CA,SF Bay Area,Palo Alto,B2B,"Social, Finance, Analytics, Advertising"
6331,/organization/aviso-inc,/funding-round/8a3a62bf9b7659dd7f3d65c5e34a94ca,venture,15000000.0,/organization/aviso-inc,"Aviso, Inc.",http://www.aviso.com,B2B|Enterprises|Enterprise Software|Finance|Predictive Analytics|Software,operating,USA,CA,SF Bay Area,Palo Alto,B2B,"Social, Finance, Analytics, Advertising"
6335,/organization/avitide,/funding-round/dd14d8d2146a3e5d0c37cfe3a1c69183,venture,7600000.0,/organization/avitide,Avitide,http://avitide.com,Biotechnology,operating,USA,NH,"Manchester, New Hampshire",Lebanon,Biotechnology,Cleantech / Semiconductors
6345,/organization/avnera,/funding-round/089d4bce59423dba11aaa5deeb44ef25,venture,8062941.0,/organization/avnera,Avnera,http://www.avnera.com,Audio|Creative|Messaging|Semiconductors|Wireless,operating,USA,OR,"Portland, Oregon",Beaverton,Audio,Entertainment
6346,/organization/avnera,/funding-round/3cf63472c6da5b5c4268f858249dd07d,venture,11000029.0,/organization/avnera,Avnera,http://www.avnera.com,Audio|Creative|Messaging|Semiconductors|Wireless,operating,USA,OR,"Portland, Oregon",Beaverton,Audio,Entertainment
6347,/organization/avnera,/funding-round/670eeed3a14026afa7103901e31c9c57,venture,10000000.0,/organization/avnera,Avnera,http://www.avnera.com,Audio|Creative|Messaging|Semiconductors|Wireless,operating,USA,OR,"Portland, Oregon",Beaverton,Audio,Entertainment
6348,/organization/avnera,/funding-round/7ab7184f05053487da18df977adb9295,venture,12000000.0,/organization/avnera,Avnera,http://www.avnera.com,Audio|Creative|Messaging|Semiconductors|Wireless,operating,USA,OR,"Portland, Oregon",Beaverton,Audio,Entertainment
6350,/organization/avnera,/funding-round/9a0213cc47d86abf64721f06f7242ed8,venture,14700000.0,/organization/avnera,Avnera,http://www.avnera.com,Audio|Creative|Messaging|Semiconductors|Wireless,operating,USA,OR,"Portland, Oregon",Beaverton,Audio,Entertainment
6351,/organization/avnera,/funding-round/a67f0fdef0960e90349ffef1ade675a6,venture,7600000.0,/organization/avnera,Avnera,http://www.avnera.com,Audio|Creative|Messaging|Semiconductors|Wireless,operating,USA,OR,"Portland, Oregon",Beaverton,Audio,Entertainment
6353,/organization/avnera,/funding-round/f0c508666bff77890ffd2df3aa73d687,venture,7700000.0,/organization/avnera,Avnera,http://www.avnera.com,Audio|Creative|Messaging|Semiconductors|Wireless,operating,USA,OR,"Portland, Oregon",Beaverton,Audio,Entertainment
6360,/organization/avolent,/funding-round/1d7d87f3aced74114b500a37a1f4435e,venture,9000000.0,/organization/avolent,Avolent,http://www.avolent.com,Software,closed,USA,CA,SF Bay Area,San Francisco,Software,Others
6378,/organization/avvo,/funding-round/07654494c0326d8a65537e5f7a3d73c1,venture,10000000.0,/organization/avvo,Avvo,http://avvo.com,Legal|Marketplaces|Reviews and Recommendations,operating,USA,WA,Seattle,Seattle,Legal,Others
6381,/organization/avvo,/funding-round/aa5dda7edeb64a7959af19ad953077e0,venture,10000000.0,/organization/avvo,Avvo,http://avvo.com,Legal|Marketplaces|Reviews and Recommendations,operating,USA,WA,Seattle,Seattle,Legal,Others
6388,/organization/awareness,/funding-round/4d9880191e340cda9a1949ecbdee95a9,venture,7000000.0,/organization/awareness,AwarenessHub,http://www.awarenesshub.com,Information Technology|Social Media Marketing|Software,acquired,USA,MA,Boston,Boston,Information Technology,"Social, Finance, Analytics, Advertising"
6389,/organization/awareness,/funding-round/ecf281cb5d3869da0ca56a7915403d81,venture,9948190.0,/organization/awareness,AwarenessHub,http://www.awarenesshub.com,Information Technology|Social Media Marketing|Software,acquired,USA,MA,Boston,Boston,Information Technology,"Social, Finance, Analytics, Advertising"
6390,/organization/awarepoint,/funding-round/1f267f62cee1a3201aaffa9d1aedacbf,venture,9000000.0,/organization/awarepoint,Awarepoint,http://www.awarepoint.com,Software,operating,USA,CA,San Diego,San Diego,Software,Others
6391,/organization/awarepoint,/funding-round/30699b8ecbc760210cc7280680ad5961,venture,14000000.0,/organization/awarepoint,Awarepoint,http://www.awarepoint.com,Software,operating,USA,CA,San Diego,San Diego,Software,Others
6393,/organization/awarepoint,/funding-round/ec143ed7a7f98e868f6be605e94a71a7,venture,10000000.0,/organization/awarepoint,Awarepoint,http://www.awarepoint.com,Software,operating,USA,CA,San Diego,San Diego,Software,Others
6413,/organization/awhere,/funding-round/b1e455188f5a60c6291ec4f04a721759,venture,7000000.0,/organization/awhere,aWhere,http://www.awhere.com,Software,operating,USA,CO,Denver,Golden,Software,Others
6417,/organization/awr-corporation,/funding-round/a04dddc0463016c7ff5d31fc657d95f0,venture,6400000.0,/organization/awr-corporation,AWR Corporation,http://awrcorp.com,Software,acquired,USA,CA,Los Angeles,El Segundo,Software,Others
6418,/organization/awr-corporation,/funding-round/eaadcc8558cba26807646267b4b438e0,venture,7400000.0,/organization/awr-corporation,AWR Corporation,http://awrcorp.com,Software,acquired,USA,CA,Los Angeles,El Segundo,Software,Others
6420,/organization/axceler,/funding-round/1b12815bc8474bb096b59946ce4d0845,venture,12000000.0,/organization/axceler,Axceler,http://www.axceler.com,Enterprise Software,acquired,USA,MA,Boston,Woburn,Enterprise Software,Others
6423,/organization/axcient,/funding-round/25361795426872cee09a858fd44fd425,venture,5000000.0,/organization/axcient,Axcient,https://axcient.com,Archiving|Business Services|Cloud Computing|Enterprise Software|Flash Storage|Homeland Security|Storage|Virtualization,operating,USA,CA,SF Bay Area,Mountain View,Archiving,"News, Search and Messaging"
6426,/organization/axcient,/funding-round/99c9107f66ee2a1d35c858eccf160db0,venture,6000000.0,/organization/axcient,Axcient,https://axcient.com,Archiving|Business Services|Cloud Computing|Enterprise Software|Flash Storage|Homeland Security|Storage|Virtualization,operating,USA,CA,SF Bay Area,Mountain View,Archiving,"News, Search and Messaging"
6428,/organization/axcient,/funding-round/bb1a3f7aff3489ce1a65bb7bf41e7279,venture,10000000.0,/organization/axcient,Axcient,https://axcient.com,Archiving|Business Services|Cloud Computing|Enterprise Software|Flash Storage|Homeland Security|Storage|Virtualization,operating,USA,CA,SF Bay Area,Mountain View,Archiving,"News, Search and Messaging"
6429,/organization/axeda,/funding-round/45a71ad686a737def06e94da5f74c138,venture,5000000.0,/organization/axeda,Axeda,http://www.axeda.com,Enterprise Software|Internet of Things|M2M|Software,acquired,USA,MA,New Bedford,Foxboro,Enterprise Software,Others
6438,/organization/axentis-software,/funding-round/bbb9cd1fb0dd905f806081274d574fa4,venture,9000000.0,/organization/axentis-software,Axentis Software,http://www.axentis.com,Software,operating,USA,OH,Cleveland,Cleveland,Software,Others
6451,/organization/axial-healthcare,/funding-round/66664901653b970cdb57b4619bb9b67b,venture,8000012.0,/organization/axial-healthcare,Axial Healthcare,http://axialhealthcare.com,Health and Wellness,operating,USA,TN,Nashville,Nashville,Health and Wellness,Health
6454,/organization/axialmarket,/funding-round/919c43b4e429779afe1495ebd402031d,venture,11000000.0,/organization/axialmarket,Axial,http://www.axial.net,Marketplaces|SaaS|Software|Trusted Networks,operating,USA,NY,New York City,New York,Marketplaces,Others
6455,/organization/axialmarket,/funding-round/acfc7b467652453906bab76733c2c7f1,venture,6500000.0,/organization/axialmarket,Axial,http://www.axial.net,Marketplaces|SaaS|Software|Trusted Networks,operating,USA,NY,New York City,New York,Marketplaces,Others
6460,/organization/axikin-pharmaceuticals,/funding-round/c97e467e7778f4c74ca6a52127dfc8f0,venture,6500000.0,/organization/axikin-pharmaceuticals,Axikin Pharmaceuticals,http://www.axikin.com,Biotechnology,operating,USA,CA,San Diego,San Diego,Biotechnology,Cleantech / Semiconductors
